Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"147328722206",Pokemon Obsidian Flames 136/197 Darkrai Cosmos Holo with Swirl,,,"1","FIXED_PRICE","USD",4.49,,,4.49,"0","1","0","May-24-26 07:59:48 PDT","Jul-24-26 07:59:48 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147328750774",OGRE'S MASK 159/167 Twilight Masquerade Holo Rare Promo Pokemon Card Near Mint,,,"2","FIXED_PRICE","USD",2.49,,,2.49,"1","0","0","May-24-26 08:15:52 PDT","Jul-24-26 08:15:52 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147328756665",Holo Toxtricity 063/189 Promo Miscellaneous Cards & Products Near Mint,,,"2","FIXED_PRICE","USD",3.99,,,3.99,"0","","","May-24-26 08:23:09 PDT","Jul-24-26 08:23:09 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147328802593",Applin 020/192  Cosmos Holo Pokemon Card Rebel Clash NM,,,"2","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-24-26 08:58:01 PDT","Jul-24-26 08:58:01 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147329553204",Walking Wake ex 189/162 Pokemon TCG Temporal Forces Ultra Rare Full Art FA,,,"1","FIXED_PRICE","USD",4.99,,,4.99,"0","2","0","May-24-26 18:43:26 PDT","Jul-24-26 18:43:26 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147330533083",Ditto (Poke Ball Pattern) 132/165 SV2a: Pokemon Card 151 NM,,,"1","FIXED_PRICE","USD",3.99,,,3.99,"0","0","0","May-25-26 06:18:50 PDT","Jul-25-26 06:18:50 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147330796291",Pokemon - Daisy's Help 195/165 - Ultra Rare Trainer Scarlet & Violet: 151,,,"1","FIXED_PRICE","USD",8.99,,,8.99,"0","","","May-25-26 09:43:22 PDT","Jul-25-26 09:43:22 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","Does not apply","",""
"147330797272",Giovanni’s Charisma 197/165 Full Art Trainer Pokémon TCG Scarlet & Violet 151 NM,,,"1","FIXED_PRICE","USD",8.99,,,8.99,"0","","","May-25-26 09:45:03 PDT","Jul-25-26 09:45:03 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147330999723",Gastly 123/217 Cosmos Holo Ascended Heroes Tech Sticker Collection Promo,,,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","0","0","May-25-26 12:14:03 PDT","Jul-25-26 12:14:03 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147331517681",Miracle Headset 183/191 Sv08: Surging Sparks Holo Ace Spec Pokémon TCG NM,,,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-25-26 19:18:05 PDT","Jul-25-26 19:18:05 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
