Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN,audit_price_column,audit_price,price_under_0_99,price_equal_0_99,price_under_1_49,price_over_100
147367215264,Ho-Oh Holo Rare ME04: Chaos Rising 010/086 NM,,06.11.26.1-004,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-11-26 10:24:34 PDT,Jul-11-26 10:24:34 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147367215265,Trevenant Holo Rare ME04: Chaos Rising 039/086 NM,,06.11.26.1-005,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-11-26 10:24:34 PDT,Jul-11-26 10:24:34 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147367215266,Keldeo Holo Rare ME04: Chaos Rising 019/086 NM,,06.11.26.1-007,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-11-26 10:24:34 PDT,Jul-11-26 10:24:34 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147368190380,Pikachu 049/203 SWSH07: Evolving Skies Regular,,,4,FIXED_PRICE,USD,1.09,,,1.09,1,0,0,Jun-11-26 20:04:19 PDT,Jul-11-26 20:04:19 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,2319971833,US,,,,Current price,1.09,False,False,True,False
147368232624,Houndoom 034/198 Trick or Trade 2023 Holo,,,8,FIXED_PRICE,USD,1.39,,,1.39,0,,,Jun-11-26 20:20:30 PDT,Jul-11-26 20:20:30 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,20071600763,US,,,,Current price,1.39,False,False,True,False
147368309141,Espurr 081/195 Swsh12: Sword & Shield - Silver Tempest Regular,,,2,FIXED_PRICE,USD,0.99,,,0.99,2,3,0,Jun-11-26 20:54:35 PDT,Jul-11-26 20:54:35 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,8057718367,US,,,,Current price,0.99,False,True,True,False
147368364041,2024 Panini Donruss - Jahmyr Gibbs #143 Blue Press Proof,,,2,FIXED_PRICE,USD,1.29,,,1.29,0,,,Jun-11-26 21:21:19 PDT,Jul-11-26 21:21:19 PDT,Trading Card Singles,261328,,,Ungraded,,,,Near mint or better,23074015030,US,,,,Current price,1.29,False,False,True,False
147368365320,2024 Panini Donruss - Jared Goff #200 Blue Press Proof,,,1,FIXED_PRICE,USD,1.39,,,1.39,0,,,Jun-11-26 21:22:38 PDT,Jul-11-26 21:22:38 PDT,Trading Card Singles,261328,,,Ungraded,,,,Near mint or better,25073996959,US,,,,Current price,1.39,False,False,True,False
147384737376,Goodra Holo Rare ME04: Chaos Rising 068/086 NM,,06.11.26.1-001,5,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-18-26 19:57:44 PDT,Jul-18-26 19:57:44 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600520,Country Roads DFT U NM,,06.19.26-032,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
