putnam_card_id,set_name,card_name,printed_number,product_id,product_name,status
pkm-ascended-heroes-30-217-1135c9b7db,Ascended Heroes,Pignite,30/217,675842,Pignite,LINKED
pkm-ascended-heroes-30-217-1135c9b7db,Ascended Heroes,Pignite,30/217,677017,Pignite (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-30-217-1135c9b7db,Ascended Heroes,Pignite,30/217,676877,Pignite (Friend Ball),LINKED
pkm-ascended-heroes-31-217-85ad64da81,Ascended Heroes,Mega Emboar ex,31/217,675843,Mega Emboar ex - 031/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-32-217-35bd1cb25f,Ascended Heroes,N's Darumaka,32/217,675844,N's Darumaka,LINKED
pkm-ascended-heroes-32-217-35bd1cb25f,Ascended Heroes,N's Darumaka,32/217,677018,N's Darumaka (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-32-217-35bd1cb25f,Ascended Heroes,N's Darumaka,32/217,676878,N's Darumaka (Poke Ball),LINKED
pkm-ascended-heroes-33-217-6985b05638,Ascended Heroes,N's Darmanitan,33/217,675845,N's Darmanitan,LINKED
pkm-ascended-heroes-33-217-6985b05638,Ascended Heroes,N's Darmanitan,33/217,677019,N's Darmanitan (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-33-217-6985b05638,Ascended Heroes,N's Darmanitan,33/217,676879,N's Darmanitan (Poke Ball),LINKED
pkm-ascended-heroes-34-217-584ef242ef,Ascended Heroes,Salandit,34/217,675846,Salandit,LINKED
pkm-ascended-heroes-34-217-584ef242ef,Ascended Heroes,Salandit,34/217,677020,Salandit (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-34-217-584ef242ef,Ascended Heroes,Salandit,34/217,676880,Salandit (Quick Ball),LINKED
pkm-ascended-heroes-35-217-93c8a240d9,Ascended Heroes,Salazzle,35/217,675847,Salazzle - 035/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-35-217-93c8a240d9,Ascended Heroes,Salazzle,35/217,677021,Salazzle - 035/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
