item_id,title,current_sku,proposed_sku,reason,action,manual_review,duplicate_item_id
147395286020,Qutrub Forayer 112 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-M6BU7W,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286021,Item Shopkeep 142 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-ZTETTR,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286022,Call the Mountain Chocobo 131 Common FINAL FANTASY Magic: The Gathering NM,CS-6D3WY7,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286023,Goobbue Gardener 188 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-4JKD9B,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286024,Adventurer's Airship 252 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-NXTUU9,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286025,Loporrit Scout 192 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-BSPVSG,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286026,Aerith Rescue Mission 5 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-3JVVKX,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286027,Light of Judgment 144 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-4U6ZS3,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286029,Stuck in Summoner's Sanctum 76 Common FINAL FANTASY Magic: The Gathering NM,CS-DN5CU8,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286030,Sephiroth's Intervention 116 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-TETYXD,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286031,Gigantoad 187 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-YRQJ39,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286032,You're Not Alone 44 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-VHZD7S,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286033,Magic Pot 263 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-D342SJ,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286034,Gigantoad 187 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-YRQJ39,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286035,Sephiroth's Intervention 116 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-TETYXD,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286036,Stuck in Summoner's Sanctum 76 Common FINAL FANTASY Magic: The Gathering NM,CS-DN5CU8,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286037,You're Not Alone 44 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-VHZD7S,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286038,Blazing Bomb 130 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-4XRMDS,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286039,Fight On! 100 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-T5ZHEA,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286040,World Map 270 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-5FSNDD,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286041,Light of Judgment 144 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-4U6ZS3,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286042,Sephiroth's Intervention 116 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-TETYXD,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286043,Gigantoad 187 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-YRQJ39,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286044,Rook Turret 69 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-MFGYE8,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286045,Aerith Rescue Mission 5 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-3JVVKX,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286046,Loporrit Scout 192 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-BSPVSG,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286047,Gysahl Greens 190 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-2RACUS,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286048,Blitzball 254 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-WXRSJ5,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286049,Gaelicat 22 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-YBMTGP,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286050,Magic Damper 61 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-555RED,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286051,Summon: G.F. Ifrit 163 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-QT9AN7,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286052,Gran Pulse Ochu 189 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-59KRPW,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286053,Ahriman 87 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-VK6329,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286055,Sahagin 71 Common FINAL FANTASY Magic: The Gathering Near Mint,CS-R2WT4E,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286165,Surgeon ~General~ Commander 072/096 The List Reprints MTG Foil NM,CS-8524U5,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286166,"Kairi, the Swirling Sky 60 Mythic Prerelease Cards Magic: The Gathering Foil NM",CS-C59ZD8,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286167,Revitalize (Foil Etched) 9 Strixhaven: Mystical Archives MTG Foil NM,CS-BAEW3B,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286168,Divine Gambit (Foil Etched) 4 Strixhaven: Mystical Archives MTG Foil NM,CS-GRDGQC,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286170,Kindslaver 150/216 Rare The List Reprints Magic: The Gathering Foil Near Mint,CS-RKD6N5,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286171,Compulsive Research (Foil Etched) 14 Strixhaven: Mystical Archives MTG Foil NM,CS-B8GB2N,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286172,Claim the Firstborn (Foil Etched) 37 Strixhaven: Mystical Archives MTG Foil NM,CS-489U88,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286173,Oddly Uneven 15 Rare Unstable Magic: The Gathering Foil Near Mint,CS-PZ4N9K,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286174,Adult Gold Dragon (Borderless) 297 Adventures in the Forgotten Realms MTG NM,CS-X3CUGF,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286175,Infuriate (Foil Etched) 41 Strixhaven: Mystical Archives MTG Foil NM,CS-NRSPKB,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286176,Eastern Paladin 132 Rare 7th Edition Magic: The Gathering Near Mint,CS-RDCEUC,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286177,Channel (Foil Etched) 50 Strixhaven: Mystical Archives MTG Foil NM,CS-3BS7DJ,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286178,Timeless Dragon (Extended Art) 445 Modern Horizons 2 MTG NM,CS-3RYMCJ,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286179,Modular Monstrosity 155/216 Rare The List Reprints Magic: The Gathering Foil NM,CS-2JDAHT,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286180,Dr. Julius Jumblemorph 130 Mythic Unstable Magic: The Gathering Foil Near Mint,CS-WQDWCM,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286181,Better Than One 128 Rare Unstable Magic: The Gathering Foil Near Mint,CS-WUVUQM,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286182,Intrepid Hero 26 Rare 8th Edition Magic: The Gathering Near Mint,CS-44QN5A,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286183,Restless Bloodseeker (Showcase) 295 Innistrad: Crimson Vow MTG Foil NM,CS-QJKUEP,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286184,Hot Fix 133 Rare Unstable Magic: The Gathering Foil Near Mint,CS-UDS2HH,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286185,Strategic Planning (Foil Etched) 20 Strixhaven: Mystical Archives MTG Foil NM,CS-BZSA9R,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286186,Jhoira of the Ghitu 1 Duel Decks: Mind vs. Might Magic: The Gathering Foil NM,CS-MF7HUV,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286187,Nahiri's Warcrafting (Extended Art) 365 March of the Machine MTG Foil NM,CS-Z8QJHN,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286188,Magnivore 202 Rare 9th Edition Magic: The Gathering Near Mint,CS-2U3CXF,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286189,Mascot Exhibition (Extended Art) 285 Strixhaven: School of Mages MTG Foil NM,CS-TJTGXB,,possible_card_specific_identifier_manual_review,manual_review,True,False
147395286190,As Luck Would Have It 102/216 The List Reprints Magic: The Gathering Foil NM,CS-Z5E5SR,,possible_card_specific_identifier_manual_review,manual_review,True,False
